AT-Nr. / AT-No. ,Ref-Nr./ ID-No. * ,Hersteller / Manufacturer ,Testname / Test name ,Zielantigen / target antigen ,Cq <25 ,Cq 25-30 ,Cq >30 ,Gesamt- Sensitvität / total sensitivity ,
AT001/21 ,n.a. ,"Xiamen Jiqing Biomedical Technology Co., Ltd. ",Gruenbanka SARS-CoV-2 Antigen detection Kit (colloidal gold method) ,N ,"25,0% ","0,0% ","0,0% ","10,0% ",
AT002/20 ,B25SY0E1L ,Unioninvest ,Unibioscience COVID-19 Rapid Antigen Test ,N ,"0,0% ","0,0% ","0,0% ","0,0% ",
AT007/20 ,3011030 ,Mexacare GmbH Heidelberg ,QuickTestCorona COVID-19 Antigen Schnelltest ,N ,"52,9% ","4,3% ","0,0% ","20,0% ",
AT012/21 ,n.a. ,"Xiamen Zhongsheng Langjie Biotechnology Co., Ltd ",Covid-19 Antigen Test Cassette ,N ,"11,8% ","0,0% ","0,0% ","4,0% ",
AT013/20 ,n.a. ,"RapiGEN, Inc. ",Biocredit COVID-19 Ag ,n.a. ,"16,7% ","0,0% ","0,0% ","6,0% ",
AT015/20 ,K511416D ,"Hangzhou Realy Tech Co., Ltd. ",Novel Coronavirus (SARS-Cov-2) Antigen Rapid Test Cassette (swab) ,n.a. ,"58,8% ","0,0% ","0,0% ","20,0% ",
AT036/20 ,C34800-100 ,Servoprax GmbH ,Cleartest Corona-Antigen ,n.a. ,"66,7% ","0,0% ","0,0% ","24,0% ",
AT041/20 ,INCP-C81-20 ,"Hangzhou Biotest Biotech Co., Ltd. ",Lumiratek SARS-CoV-2 Antigen Rapid Test Cassette ,N ,"29,4% ","0,0% ","0,0% ","10,0% ",
AT046/20 ,G10313 ,"Joysbio (Tianjin) Biotechnology Co., Ltd. ",Joysbio SARS-CoV-2 Antigen Rapid Test Kit (Colloidal Gold) ,N ,"47,1% ","4,3% ","0,0% ","18,0% ",
AT048/20 ,C-1023 ,Coris BioConcept ,COVID-19 Ag Respi-Strip ,N ,"33,3% ","0,0% ","0,0% ","12,0% ",
AT051/20 ,SC820001PC ,CertestT Biotec S. L. ,CerTest Biotec SARS-CoV-2 Ag Test ,N ,"29,4% ","0,0% ","0,0% ","10,0% ",
AT054/20 ,INCP-ACO502 ,"Acro Biotech, Inc. ",Acro COVID-19 Antigen Rapid Test ,n.a. ,"16,7% ","0,0% ","0,0% ","6,0% ",
AT062/20 ,VCD05-01-011 ,"VivaChek Biotech (Hangzhou) Co., Ltd. ",VivaDiag SARS-CoV-2 Ag Rapid Test ,N ,"50,0% ","0,0% ","0,0% ","18,0% ",
AT088/21 ,K590516D ,"Hangzhou Realy Tech Co., Ltd. ",Heinzer Antigen Covid19 Spucktest Schnelltest [Original Name: Novel Coronavirus (SARS-CoV-2) Antigen Rapid Test Device (saliva)] ,N+S ,"65,0% ","5,0% ","0,0% ","28,0% ",
AT128/20 ,n.a. ,TaiDoc Technology Corporation ,FORA COVID-19 ANTIGEN RAPID TEST ,N ,"27,8% ","0,0% ","0,0% ","10,0% ",
AT139/20 ,BCOV-502 ,Inzek International Trading B.V ,BIOZEK COVID-19-Antigen-Schnelltestkassette ,n.a. ,"52,9% ","0,0% ","0,0% ","18,0% ",
AT160/20 ,P211134 ,"Hangzhou Genesis Biocontrol Co., Ltd ",KaiBiLi COVID-19 Antigen Rapid Test Device ,N ,"52,9% ","0,0% ","0,0% ","18,0% ",
AT163/20 ,MPV: M30020-01 /-02 ,"Beijing Savant Biotechnology Co., Ltd. ",New Coronavirus (SARS-CoV-2) N Protein Detection Kit (Fluorescence Immunchromatography) ,N ,"0,0% ","0,0% ","0,0% ","0,0% ",
AT171/20 ,MICOG-502 (B2503) ,"Medicon Co., Ltd. ",Trueline COVID-19 Ag Rapid Test ,N+S ,"58,8% ","4,3% ","0,0% ","22,0% ",
AT178/20 ,n.a. ,"Joinstar Biomedical Technology Co., Ltd ",COVID-19 Antigen Rapid Test (Latex) ,S ,"0,0% ","0,0% ","0,0% ","0,0% ",
AT186/20 ,COVID19AGVC ,SureScreen Diagnostics Ltd. ,COVID-19 Antigen Rapid Test Cassette ,N ,"52,9% ","0,0% ","0,0% ","18,0% ",
AT201/20 ,ICOV-502 ,Hangzhou AllTest Biotech Co. Ltd. ,COVID-19 Antigen Rapid Test (Nasopharyngeal swab) ,n.a. ,"16,7% ","0,0% ","0,0% ","6,0% ",
AT218/20 ,FSSA-CK20 ,"W.H.P.M, Inc. ",First Sign SARS-CoV-2 Antigen Test ,N ,"47,1% ","0,0% ","0,0% ","16,0% ",
AT225/20 ,SP-SW 106 ,Spring Healthcare Services Sp zoo ,SARS-Cov-2 Antigen Rapid Test Cassette (swab) ,N+S ,"29,4% ","0,0% ","0,0% ","10,0% ",
AT242/21 ,SG0010A ,SG Diagnostics Pte Ltd ,SG Diagnostics COVID-19 Antigen Rapid Test Kit (Colloidal Gold-Based) ,N ,"50,0% ","0,0% ","0,0% ","20,0% ",
AT294/20 ,VCD16-01-011 ,"VivaChek Biotech (Hangzhou) Co., Ltd. ",VivaDiag Pro SARS-CoV-2 Ag Rapid Test ,N ,"64,7% ","0,0% ","0,0% ","22,0% ",
AT302/21 ,RCCOVAG ,Redcell Bioteknoloji Anim Sirketi ,COVID-19 Antigen Test ,N ,"0,0% ","0,0% ","0,0% ","0,0% ",
AT315/21 ,VS200602 ,Vision Biyoteknologi Arastirma Gelistirme Labt. Sist. San ve Tic STI ,LTD VISION® SARS-CoV-2 Saliva Antigen Rapid Test Kit ,N ,"45,0% ","10,0% ","0,0% ","22,0% ",
AT400/20 ,100053 ,Lionex GmbH ,Lionex COVID-19 Ag Rapid Test ,S ,"0,0% ","0,0% ","0,0% ","0,0% ",
AT437/21 ,n.a. ,"Hangzhou Singclean Medical Products Co., Ltd. ",COVID-19 Test Kit (Colloidal Gold Method) ,N ,"0,0% ","0,0% ","0,0% ","0,0% ",
AT469/20 ,AKBR4019020 ,"Aikang Diagnostics Co., Ltd. ",SARS-CoV-2 Antigen Test Kit (Immunochromatography) ,N ,"11,8% ","0,0% ","0,0% ","4,0% ",
AT470/20 ,243104D-20 ,nal von minden GmbH ,dedicio Medical Test COVID-19 Ag plus Test ,N ,"35,3% ","0,0% ","0,0% ","12,0% ",
AT487/21 ,NCV11 ,"Koch Biotechnology (Beijing) Co., Ltd. ",COVID-19 Antigen Rapid Test Kit ,N ,"60,0% ","0,0% ","0,0% ","24,0% ",
AT506/20 ,ABCAR-020 ,"Absology Co.,Ltd. ",INIST COVID-19 Ag Rapid ,N ,"0,0% ","0,0% ","0,0% ","0,0% ",
AT543/21 ,n.a. ,"Changsha Sanji Bio-technology Co., Ltd ",SARS-CoV-2 Antigen Rapid Test (Laterial Flow Method) ,N ,"20,0% ","0,0% ","0,0% ","8,0% ",
AT573/21 ,S03# ,"Diasia Biomedical Technology Co., Ltd. ",DIASIA SARS-CoV-2 Antigen Rapid Test Kit ,N ,"55,0% ","0,0% ","0,0% ","22,0% ",
AT586/21 ,RAPG-CVA-019 ,Biopanda Reagents ,COVID-19 Antigen-Schnelltest ,N ,"60,0% ","0,0% ","0,0% ","24,0% ",
AT662/21 ,n.a. ,"Hangzhou Fanttest Biotech Co.,Ltd. ",Fanttest Novel Coronavirus(SARS-CoV-2) Antigen Rapid Test Cassette ,N ,"0,0% ","0,0% ","0,0% ","0,0% ",
AT684/21 ,n.a. ,"LiClear Biotech (Hangzhou) Co., Ltd. ",SARS-COV-2 Nucleocapsid (N) Antigen Rapid Test (VIDA TEST Rapid Diagnostic Test) ,N ,"0,0% ","0,0% ","0,0% ","0,0% ",
AT712/21 ,n.a. ,Essa Commerce Bilisim ve Ithalat Ihracat Tic.A.S. ,Bioessa SARS-CoV-2 Antigen Schnelltest ,N ,"0,0% ","0,0% ","0,0% ","0,0% ",
AT715/21 ,DCOV-201 ,Dejavu Medikal San. Ve Tic. Ltd. Sti. ,COVID-19 Antigen Schnelltest ,N ,"70,0% ","0,0% ","0,0% ","28,0% ",
AT777/21 ,n.a. ,"Shenzhen Landwind Biotechnology Co., Ltd. ",Landwind SARS-CoV-2 Antigen Test Kit (Colloidal Gold) ,N ,"55,0% ","0,0% ","0,0% ","22,0% ",
AT819/21 ,BQ-03012 ,"Foregene Co.,Ltd. ",FOREGENE SARS-CoV-2 Antigen Test Kit ,N ,"30,0% ","0,0% ","0,0% ","12,0% ",
AT899/21 ,FRTFT02 ,FAGO MEDIKAL San. Tic. Ltd ,FAMEX® SARS-CoV-2 Ag Rapid Nasopharyngeal Test Kit ,N ,"20,0% ","0,0% ","0,0% ","8,0% ",
AT932/21 ,n.a. ,"ShanDong ThinkLabor Biotechnology Co.,Ltd. ",Coronavirus Ag Schnelltest Kassette (Tupfer) ,N ,"0,0% ","0,0% ","0,0% ","0,0% ",
AT972/21 ,BSK01S1S ,"Hangzhou Bioer Technology Co., Ltd. ",BIOflux SARS-CoV-2 Antigen Test Kit (colloidal gold method) ,N ,"60,0% ","0,0% ","0,0% ","24,0% ",
