AT-Nr. / AT-No. ,Ref-Nr./ ID-No. * ,Hersteller / Manufacturer ,Testname / Test name ,Zielantigen / target antigen ,Cq <25 ,Cq 25-30 ,Cq >30 ,Gesamt- - Sensitvität / total sensitivity ,
AT001/20 ,GCCOV-502a-H5 ,Healgen Scientific Limited Liability Company (Siemens Healthineers) ,CLINITESTR Rapid COVID-19 Antigen Test ,N ,"100,0% ","87,0% ","0,0% ","76,0% ",
AT005/20 ,41FK10 ,Abbott Rapid Diagnostics Jena GmbH ,Panbio¹ TM COVID-19 Ag Rapid Test Device (NASOPHARYNGEAL) ,N ,"100,0% ","60,9% ","0,0% ","64,0% ",
AT007/21 ,1509A-I ,BIOMERICA Inc. ,COVID-19-Antigen-Schnelltest (Nasopharyngeal-Abstrich) ,N ,"100,0% ","30,4% ","0,0% ","48,0% ",
AT008/20 ,N6803 ,R-Biopharm AG ,RIDA®QUICK SARS-CoV-2 Antigen ,N ,"100,0% ","17,4% ","0,0% ","44,0% ",
AT010/20 ,CAGT025E0 ,"Sugentech, Inc. ",SGTi-flex COVID-19 Ag ,N ,"100,0% ","73,9% ","0,0% ","68,0% ",
AT011/20 ,n.a. ,"Hangzhou Laihe Biotech Co., Ltd. (Lissner Qi GmbH) ",Lyher Novel Coronavirus (COVID-19) Antigen Test Kit (Colloidal Gold) ,N ,"94,4% ","17,4% ","0,0% ","42,0% ",
AT012/20 ,76748 ,MEDsan GmbH ,MEDsan® SARS-CoV-2 Antigen Rapid Test ,N ,"100,0% ","47,8% ","0,0% ","58,0% ",
AT014/20 ,RG1901DG ,BIONOTE ,NowCheck® COVID-19 Ag Test ,N ,"100,0% ","65,2% ","0,0% ","66,0% ",
AT018/20 ,n.a. ,Green Cross Medical Science Corp. (Weko Pharma GmbH) ,Genedia W Covid-19 Ag ,N ,"83,3% ","8,7% ","0,0% ","34,0% ",
AT018/21 ,n.a. ,Abioteq ,Cora Gentest-19 ,N ,"100,0% ","45,0% ","0,0% ","58,0% ",
AT019/20 ,COVAG025 ,GenBody Inc. ,GenBody COVID-19 Ag ,N ,"94,4% ","26,1% ","0,0% ","46,0% ",
AT021/20 ,243103N-20 ,nal von minden gmbh ,NADAL COVID-19 Ag Schnelltest ,N ,"83,3% ","13,0% ","0,0% ","36,0% ",
AT022/20 ,F-NCOV-01G ,"SD Biosensor, Inc. ",STANDARD F COVID-19 Ag FIA ,N ,"100,0% ","65,2% ","0,0% ","66,0% ",
AT022/21 ,WJ-2850 ,"Beijing Wantai Biological Pharmacy Enterprise Co., Ltd. ",Wantai SARS-CoV-2 Ag Rapid Test (FIA) ,N ,"100,0% ","78,3% ","0,0% ","72,0% ",
AT023/20 (AT004/20) ,Q-NCOV-01G (9901-NCOV-01G) ,"SD Biosensor, Inc. (Roche Diagnostics GmbH) ",STANDARD Q COVID-19 Ag Test (SARS-CoV-2 Rapid Antigen Test) ,N ,"88,9% ","30,4% ","0,0% ","46,0% ",
AT025/20 ,SW4000605 ,BIOSYNEX SWISS SA ,BIOSYNEX COVID-19 Ag BSS ,N ,"100,0% ","78,3% ","11,1% ","74,0% ",
AT029/20 ,231906 ,Fujirebio Inc. (Mast Diagnostica GmbH) ,ESPLINE® SARS-CoV-2 ,N ,"100,0% ","21,7% ","0,0% ","46,0% ",
AT031/20 ,n.a. ,"Anhui Deepblue Medical Technology Co. , Ltd. ",COVID-19 (SARS CoV-2) Antigen Test Kit (Colloidal Gold) ,N ,"100,0% ","39,1% ","0,0% ","52,0% ",
AT032/20 ,EGCV0101B ,Edinburgh Genetics Limited ,Edinburgh Genetics ActivXpress+ COVID-19 Antigen Complete Testing Kit ,N ,"100,0% ","34,8% ","0,0% ","50,0% ",
AT033/20 ,RT2952 ,Ameda Labordiagnostik GmbH ,AMP Rapid Test SARS-CoV-2 Ag ,N ,"100,0% ","78,3% ","0,0% ","70,0% ",
AT036/21 ,MY28 ,Novatech Tibbi Cihaz Ürünleri San. Ve Tic.A.S. ,novacheck®-Ag SARS-CoV-2 Covid-19 Antigen Rapid Test ,N ,"94,1% ","21,7% ","0,0% ","42,0% ",
AT039/20 ,GCCOV-502a ,"Zhejiang Orient Gene Biotech Co.,Ltd ",Coronavirus Ag Rapid Test Cassette (Swab) ,N ,"100,0% ","87,0% ","0,0% ","76,0% ",
AT044/21 ,C011906 ,"Triplex International Biosciences (China) Co., Ltd. ",SARS-CoV-2 Antigen Rapid Test Kit ,N ,"100,0% ","87,0% ","20,0% ","78,0% ",
AT047/20 ,0230005SP ,Mölab GmbH ,mö-screen Corona Antigen Test ,N ,"100,0% ","47,8% ","0,0% ","58,0% ",
AT060/20 ,COV-201 ,"Hangzhou Lysun Biotechnology Co., Ltd. ",Lysun COVID-19 Antigen Rapid Test Device (Colloidal Gold) ,N ,"100,0% ","78,3% ","0,0% ","70,0% ",
AT061/20 ,B62000 ,Azure Biotech Inc. ,Dia Sure Covid-19 Antigen Rapid Test Device (Nasopharyngeal/Oropharyngeal Swab) ,N ,"76,5% ","13,0% ","20,0% ","36,0% ",
AT069/20 ,34 ,ScheBo Biotech AG ,ScheBo SARS-CoV-2 Quick Antigen ,N ,"100,0% ","91,3% ","10,0% ","78,0% ",
AT070/20 ,MF-60 ,"Shenzhen Microprofit Biotech Co., Ltd. ",fluorecare COVID-19 SARS-CoV-2 Spike Protein Test Kit (Colloidal Gold Chromatographic Immunoassay) ,S ,"100,0% ","47,8% ","10,0% ","58,0% ",
AT071/20 ,MF-63 ,"Shenzhen Microprofit Biotech Co., Ltd. ",SARS-CoV-2 Spike Protein Test Kit (Fluorescence Immunoassay) ,S ,"100,0% ","85,0% ","10,0% ","76,0% ",
AT074/20 ,n.a. ,"Beijing Beier Bioengineering Co., Ltd. ",Covid-19 Antigen Schnelltest ,N ,"77,8% ","0,0% ","0,0% ","28,0% ",
AT075/20 ,SPEC-32312 R2 ART-00571 R4 ,LumiraDX ,LumiraDx SARS-CoV-2 Ag Test ,N ,"100,0% ","52,2% ","0,0% ","60,0% ",
AT075/21 ,012G521 ,ulti med Products (Deutschland) GmbH ,COVID-19 Antigen Speicheltest (Immunochromatographie) ,N ,"100,0% ","95,7% ","20,0% ","82,0% ",
AT078/20 ,PR-FC13 ,Precision Biosensor Inc. (Axon Lab AG) ,Exdia COVID-19-Ag-Test ,N ,"100,0% ","60,9% ","0,0% ","64,0% ",
AT079/20 ,2020110090 ,"Hangzhou Clongene Biotech Co., Ltd. ",Clungene COVID-19 Antigen Rapid Test ,N ,"94,4% ","34,8% ","0,0% ","50,0% ",
AT082/20 ,n.a. ,"Hangzhou Testsea Biotechnology Co., Ltd ",Testsealabs® Rapid Test Kit COVID-19 Antigen Test Cassette ,N ,"100,0% ","47,8% ","0,0% ","56,0% ",
AT083/20 ,ACOVA-7025 ,"Humasis Co., Ltd. ",Humasis COVID-19 Ag Test ,N+S ,"88,2% ","21,7% ","0,0% ","40,0% ",
AT084/21 ,ABT-IDTB367 ,"AccuBioTech Co.,Ltd. ",Accu-Tell Rapid In-vitro Diagnostiktest ,N ,"100,0% ","75,0% ","0,0% ","70,0% ",
AT085/21 ,CV19IC ,DNA Diagnostic A/S. ,Covid-19 Antigen Detection Kit ,N ,"100,0% ","39,1% ","10,0% ","54,0% ",
AT086/20 ,BE0040 ,"Guangdong Wesail Biotech Co., Ltd. ",COVID-19 Ag Test Kit ,N ,"100,0% ","52,2% ","11,1% ","62,0% ",
AT090/20 ,FRCOG 020P ,NanoEntek Inc ,FREND TM COVID-19 Ag ,N ,"88,2% ","8,7% ","0,0% ","34,0% ",
AT1010/21 ,n.a. ,"Changzhou Biowin Pharmaceutical Co.,Ltd. ",Novel Coronavirus(COVID-19) Antigen Test Kit (Colloidal Gold) ,N ,"100,0% ","35,0% ","0,0% ","54,0% ",
AT1019/21 ,150129 ,"Shenzhen Kingfocus Biomedical Engineering Co., Ltd. ",COVID-19 Antigen Detection Kit (Quantum Dots-Based Immunofluorescence Chromatography) ,N ,"100,0% ","95,0% ","60,0% ","90,0% ",
AT102/20 ,COVG10S ,"Zhejiang Anji Saianfu Biotech Co.,Ltd. ",reOpenTest COVID-19 Antigen Rapid Test (Colloidal Gold) ,N ,"94,1% ","30,4% ","0,0% ","46,0% ",
AT1024/21 ,n.a. ,"Acro Diagnostics Co., Ltd ",SARS-CoV-2 Antigen Rapid Detection Kit (LFA) ,N ,"100,0% ","100,0% ","80,0% ","96,0% ",
AT1054/21 ,n.a. ,Lifecosm Biotech Limited ,COVID-19 Rapid Test Cassette Antigen Test Kit ,N ,"100,0% ","100,0% ","100,0% ","100,0% ",
AT106/20 ,COV-06-S ,Salofa OY ,salocor SARS-CoV-2 Antigen Rapid Test Cassette (Nasopharyngeal swab) ,N ,"82,4% ","13,0% ","0,0% ","34,0% ",
AT1064/21 ,2.13.1.587 ,Senova Gesellschaft für Biowissenschaft und Technik mbH ,GreenLight SARS-CoV-2 Antigen-Test ,N ,"95,0% ","10,0% ","0,0% ","42,0% ",
AT1065/21 ,808151-1 ,"Shenzhen Kang Sheng Bao Bio- Technology Co., Ltd. ",SARS-CoV-2 Antigen Rapid Test (Lateral Flow Assay) ,N ,"95,0% ","10,0% ","0,0% ","42,0% ",
AT1073/21 ,n.a. ,Innovation Biotech (Beijing) Co. LTD ,INVBIO One Step Diagnostic Rapid Test Cassette ,N ,"100,0% ","100,0% ","70,0% ","94,0% ",
AT1076/21 ,n.a. ,"Hubei Jinjian Biology Co.,Ltd. ",SARS-CoV-2 Antigen Test Kit (Colloidal Gold Method) ,N ,"100,0% ","65,0% ","0,0% ","66,0% ",
AT108/20 ,LFA0401-25N ,"Shenzhen Watmind Medical Co., Ltd. ",SARS-CoV-2 Ag Diagnostic Test Kit (Colloidal Gold) ,N ,"100,0% ","95,7% ","20,0% ","82,0% ",
AT1082/21 ,R220T001B0C0 ,"Jiangsu Mole Bioscience Co., Ltd ",SARS-CoV-2 Antigen Test Cassette ,N ,"100,0% ","65,0% ","0,0% ","66,0% ",
AT109/20 ,51232012 ,"Xiamen WIZ Biotech Co., Ltd. ",Wizbiotech SARS-CoV-2 Antigen Rapid Test ,N ,"88,2% ","13,0% ","0,0% ","36,0% ",
AT1100/21 ,CoVSLFA-20 ,"Genobio Pharmaceutical Co., Ltd. ",Virusee® SARS-CoV-2 Antigen Rapid Test (Colloidal Gold) (Saliva/Swab) ,N ,"100,0% ","95,0% ","40,0% ","86,0% ",
AT111/20 ,52026075 ,Genrui Biotech Inc. ,Genrui SARS-CoV-2 Antigen Test Kit (Colloidal Gold) ,N ,"94,1% ","56,5% ","0,0% ","58,0% ",
AT116/20 ,07AG6020B ,"Xiamen Boson Biotech Co., Ltd. ",SARS-CoV-2 Antigen Schnelltest ,N ,"100,0% ","43,5% ","0,0% ","54,0% ",
AT117/20 ,CAT-01 ,Oncosem Onkolojik Sistemler San. Ve Tic.A.S. ,CAT Antigen Covid Rapid Test ,N ,"94,1% ","30,4% ","0,0% ","46,0% ",
AT1173/21 ,3715270 ,Dräger Safety AG & Co. KGaA ,Dräger Antigen Test SARS-CoV-2 ,N ,"95,0% ","10,0% ","0,0% ","42,0% ",
AT120/20 ,n.a. ,"Beijing Hotgen Biotech Co., Ltd. ",Novel Coronavirus 2019-nCoV Antigen Test (Colloidal gold) ,N ,"100,0% ","47,8% ","0,0% ","56,0% ",
AT122/21 ,TG1417 ,Beijing Tigsun Diagnostics Co.;Ltd. ,Tigsun COVID-19 Saliva Antigen Rapid Test ,N ,"100,0% ","87,0% ","30,0% ","80,0% ",
AT125/20 ,W196 ,Guangzhou Wondfo Biotech Co. Ltd ,Wondfo SARS-CoV-2 Antigen Test (Lateral Flow Method) ,N ,"88,2% ","0,0% ","0,0% ","30,0% ",
AT127/20 ,B63000 ,"Labnovation Technologies, Inc. ",Labnovation SARS-CoV-2 Antigen Rapid Test Kit (Immunochromatography) ,N ,"94,1% ","17,4% ","0,0% ","40,0% ",
AT132/20 ,nCOV-500 ,"Atlas Link Technology Co. ,Ltd. ",Nova Test SARS-CoV-2 Antigen Rapid Test Kit ,N ,"100,0% ","60,9% ","0,0% ","62,0% ",
AT147/20 ,A6061202 ,"Anbio (Xiamen) Biotechnology Co., Ltd ",Rapid Covid-19 Antigen Test (Colloidal Gold ) ,N ,"100,0% ","52,2% ","0,0% ","58,0% ",
AT151/20 ,71110 ,"LumiQuick Diagnostics, Inc. ",Quick Profile Covid-19 Antigen Test Card ,N ,"100,0% ","91,3% ","20,0% ","80,0% ",
AT155/20 ,L031-11815 ,"ACON Biotech (Hangzhou) Co., Ltd ",Flowflex SARS-CoV-2-Antigenschnelltest ,N ,"94,1% ","4,3% ","0,0% ","34,0% ",
AT161/20 ,P2004 ,GenSure Biotech Inc. ,DIA-COVID® COVID-19 Ag Rapid Test Kit ,N ,"94,1% ","13,0% ","0,0% ","38,0% ",
AT166/20 ,CG2061 ,"Getein Biotech, Inc. ",One Step Test for SARS-CoV-2 Antigen (Colloidal Gold) ,N ,"100,0% ","82,6% ","0,0% ","72,0% ",
AT167/20 ,n.a. ,Zet Medikal Tekstil Dis Ticaret Ltd. STI. ,softec SARS COV-2 (Covid-19) Antigen Test Kit ,N ,"82,4% ","21,7% ","10,0% ","40,0% ",
AT172/20 ,SF24025 ,"Wuhan Life Origin Biotech Joint Stock Co., Ltd. ",SARS-CoV-2 Antigen Assay Kit (Immunochromatography) ,n.a. ,"100,0% ","56,5% ","0,0% ","60,0% ",
AT172/21 ,1-367-K020 ,BioMaxima S.A. ,SARS-CoV-2 Ag Rapid Test ,N ,"100,0% ","60,0% ","0,0% ","64,0% ",
AT181/21 ,1166-25 ,Affimedix ,TestNOW® COVID-19-Antigen-Test ,N ,"100,0% ","47,8% ","0,0% ","58,0% ",
AT198/20 ,07AG6020B ,MP Biomedicals Germany GmbH ,Rapid SARS-CoV-2 Antigen Test Card ,N ,"100,0% ","43,5% ","0,0% ","54,0% ",
AT199/20 ,COV Ag-6012 ,"Safecare Biotech Hangzhou Co., Ltd. ",Safecare COVID-19 Ag Rapid Test Kit (Swab) ,N ,"100,0% ","60,9% ","0,0% ","62,0% ",
AT199/21 ,n.a. ,Innovita (Tangshan) Biological Technology Co.; LTD. ,2019-nCoV Ag Test (Latex Chromatography Assay) ,N ,"85,0% ","5,0% ","0,0% ","36,0% ",
AT200/20 ,256082 ,Becton Dickinson ,BD Veritor TM System for Rapid Detection of SARS-CoV-2 ,N ,"83,3% ","8,7% ","0,0% ","34,0% ",
AT205/20 ,C3042 ,Beijing Jinwofu Bioengineering Technology Co. Ltd. ,Jinwofu Novel Coronavirus (SARS-COV-2) Antigen Rapid Test Kit ,N ,"100,0% ","50,0% ","0,0% ","60,0% ",
AT209/20 ,n.a. ,"PerGrande BioTech Development Co., Ltd. ",SARS-CoV-2 Antigen Detection Kit (Colloidal Gold Immunochromatographic Assay) ,N+S ,"100,0% ","17,4% ","0,0% ","42,0% ",
AT211/20 ,n.a. ,"Shenzhen Zhenrui Biotech Co., Ltd. ",Zhenrui COVID-19 (SARS-COV-2) Antigen Test Kits ,N ,"82,4% ","13,0% ","0,0% ","34,0% ",
AT214/20 ,CP01810011 ,"Merlin Biomedical (Xiamen) Co., Ltd. ",SARS-CoV-2 Antigen Rapid Test Cassette ,N ,"100,0% ","82,6% ","0,0% ","72,0% ",
AT216/20 (AT052/20) ,n.a. ,"Beijing Lepu Medical Technology Co., Ltd ",SARS-CoV-2 Antigen Rapid Test Kit ,N ,"100,0% ","26,1% ","0,0% ","46,0% ",
AT219/20 ,COV-201 ,BioRepair GmbH ,Covid 19 Antigen Schnelltest ,N ,"100,0% ","78,3% ","0,0% ","70,0% ",
AT228/20 ,YMC050G ,Hangzhou Immuno Biotech Co. Ltd. ,IMMUNOBIO SARS-CoV-2 Antigen-Schnelltest (COVID-19 Ag) ,N ,"88,2% ","13,0% ","0,0% ","36,0% ",
AT231/20 ,n.a. ,"Jiangsu Konsung Bio-Medical Science And Technology Co., Ltd ",Konsung COVID-19 Antigen Rapid Test Kit ,N ,"100,0% ","70,0% ","30,0% ","74,0% ",
AT236/20 ,n.a. ,"Joinstar Biomedical Technology Co., Ltd (CIV care impuls Vertrieb) ",COVID-19 Antigen Schnelltest (Colloidal Gold) ,N ,"100,0% ","60,9% ","0,0% ","64,0% ",
AT244/20 ,1031-02 ,"Jiangsu Medomics Medical Technology Co., Ltd ",SARS-CoV-2-Antigen-Testkit (LFIA) ,N ,"94,1% ","21,7% ","0,0% ","42,0% ",
AT246/21 ,CG01Ag-25 ,"Xiamen AmonMed Biotechnology Co., Ltd. ",COVID-19 Antigen Rapid Test Kit (Colloidal Gold) ,N ,"100,0% ","87,0% ","30,0% ","80,0% ",
AT247/21 ,n.a. ,"Innovation Biotech (Beijing) Co.,Ltd ",INVBIO Antigen Rapid Test Device (Saliva) ,N ,"95,0% ","25,0% ","0,0% ","48,0% ",
AT255/20 ,C8602C ,"Nanjing Vazyme Medical Technology Co., Ltd. ",Vazyme SARS-CoV-2 Antigen Detection Kit (Colloidal Gold- Based) ,N+S ,"85,0% ","5,0% ","0,0% ","36,0% ",
AT260/21 ,n.a. ,"Shenzhen Dymind Biotechnology Co., Ltd. ",SARS-CoV-2 Antigen Test Kit (Colloidal Gold) ,N ,"100,0% ","30,0% ","0,0% ","52,0% ",
AT267/20 ,n.a. ,"Core Technology Co., Ltd. ",Canea COVID-19 Antigen Schnelltest ,N ,"88,2% ","26,1% ","0,0% ","42,0% ",
AT276/21 ,ICOV-802 ,"Hangzhou AllTest Biotech Co., Ltd. ",Covid-19 Antigen Rapid Test (Oral fluid) ,N ,"100,0% ","55,0% ","0,0% ","62,0% ",
AT284/21 ,B255C ,Biocan Diagnostics Inc. ,Tell Me Fast Rapid Diagnostic Test ,N ,"95,0% ","10,0% ","0,0% ","42,0% ",
AT286/20 ,NL-CA002-2020- 52777 ,"Assure Tech (Hangzhou) Co.,Ltd ",ECOTEST COVID-19 Antigen Rapid Test Device ,N ,"95,0% ","50,0% ","0,0% ","58,0% ",
AT303/20 ,RICOV2 ,"Amazing Biotech (Shanghai) Co., Ltd ",CoroVisio Covid-19 Ag Versieglungsröhrchen Teststreifen (Kolloidales Gold) ,N ,"76,5% ","8,7% ","0,0% ","30,0% ",
AT311/21 ,n.a. ,ZandCell AB ,ZandCell COVID-19 Saliva Antigen-Test ,N ,"90,0% ","5,0% ","0,0% ","38,0% ",
AT313/20 ,601460 ,Beijing Kewei Clinical Diagnostic Reagent Inc. ,COVID-19 Antigen Rapid Test Kit ,N ,"95,0% ","0,0% ","0,0% ","38,0% ",
AT320/20 ,H100G ,"Qingdao Hightop Biotech Co., Ltd. ",Hightop SARS-CoV-2 (Covid-19) Antigen Rapid Test ,N ,"100,0% ","43,5% ","0,0% ","54,0% ",
AT331/21 ,COVID-19-NG08 ,"New Gene (Hangzhou) Bioengineering Co., Ltd. ",Covid-19-Antigen-Testkit ,N ,"100,0% ","87,0% ","20,0% ","78,0% ",
AT337/20 ,CCOV-201 ,Chil Tibbi Mal. San. Tic. Ltd. Sti ,COVID-19 Antigen Schnell Test (Nasopharyngeal / Oropharyngeal Tupfer Kassette) ,N ,"100,0% ","60,9% ","0,0% ","62,0% ",
AT342/21 ,DNK-1425-1 ,"Dynamiker Biotechnology (Tianjin) Co., Ltd. ",Dynamiker SARS-CoV-2 AG Rapid Test ,N ,"100,0% ","100,0% ","60,0% ","92,0% ",
