AT-Nr. / AT-No.,AT-Nr. Selbsttest / AT-No. selftest,Cq 25-30,Cq <25,Cq >30,Gesamt- Sensitvität / total sensitivity,Hersteller / Manufacturer,Ref-Nr./ ID-No.,Testname / Test name,Zielantigen / target antigen
AT001/20,AT1208/21,"87,0%","100,0%","0,0%","76,0%",Healgen Scientific Limited Liability Company (Siemens Healthineers),GCCOV-502a-H5,CLINITESTR Rapid COVID-19 Antigen Test,N
AT001/21,,"0,0%","25,0%","0,0%","10,0%","Xiamen Jiqing Biomedical Technology Co., Ltd.",n.a.,Gruenbanka SARS-CoV-2 Antigen detection Kit (colloidal gold method),N
AT002/20,,"0,0%","0,0%","0,0%","0,0%",Unioninvest,B25SY0E1L,Unibioscience COVID-19 Rapid Antigen Test,N
AT005/20,,"60,9%","100,0%","0,0%","64,0%",Abbott Rapid Diagnostics Jena GmbH,41FK10,Panbio TM COVID-19 Ag Rapid Test Device (NASOPHARYNGEAL),N
AT007/20,,"4,3%","52,9%","0,0%","20,0%",Mexacare GmbH Heidelberg,3011030,QuickTestCorona COVID-19 Antigen Schnelltest,N
AT007/21,,"30,4%","100,0%","0,0%","48,0%",BIOMERICA Inc.,1509A-I,COVID-19-Antigen-Schnelltest (Nasopharyngeal-Abstrich),N
AT008/20,,"17,4%","100,0%","0,0%","44,0%",R-Biopharm AG,N6803,RIDA®QUICK SARS-CoV-2 Antigen,N
AT010/20,,"73,9%","100,0%","0,0%","68,0%","Sugentech, Inc.",CAGT025E0,SGTi-flex COVID-19 Ag,N
AT011/20,AT1228/21,"17,4%","94,4%","0,0%","42,0%","Hangzhou Laihe Biotech Co., Ltd. (Lissner Qi GmbH)",n.a.,Lyher Novel Coronavirus (COVID-19) Antigen Test Kit (Colloidal Gold),N
AT012/20,,"47,8%","100,0%","0,0%","58,0%",MEDsan GmbH,76748,MEDsan® SARS-CoV-2 Antigen Rapid Test,N
AT012/21,,"0,0%","11,8%","0,0%","4,0%","Xiamen Zhongsheng Langjie Biotechnology Co., Ltd",n.a.,Covid-19 Antigen Test Cassette,N
AT013/20,,"0,0%","16,7%","0,0%","6,0%","RapiGEN, Inc.",G61RHA20,Biocredit COVID-19 Ag,n.a.
AT014/20,,"65,2%","100,0%","0,0%","66,0%",BIONOTE,RG1901DG,NowCheck® COVID-19 Ag Test,N
AT015/20,,"0,0%","58,8%","0,0%","20,0%","Hangzhou Realy Tech Co., Ltd.",K511416D,Novel Coronavirus (SARS-Cov-2) Antigen Rapid Test Cassette (swab),n.a.
AT018/20,,"8,7%","83,3%","0,0%","34,0%",Green Cross Medical Science Corp. (Weko Pharma GmbH),n.a.,Genedia W Covid-19 Ag,N
AT018/21,,"45,0%","100,0%","0,0%","58,0%",Abioteq,n.a.,Cora Gentest-19,N
AT019/20,,"26,1%","94,4%","0,0%","46,0%",GenBody Inc.,COVAG025,GenBody COVID-19 Ag,N
AT021/20,AT1293/21,"13,0%","83,3%","0,0%","36,0%",nal von minden gmbh,243103N-20,NADAL® COVID-19 Ag Schnelltest,N
AT022/20,,"65,2%","100,0%","0,0%","66,0%","SD Biosensor, Inc.",F-NCOV-01G,STANDARD F COVID-19 Ag FIA,N
AT022/21,,"78,3%","100,0%","0,0%","72,0%","Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.",WJ-2850,Wantai SARS-CoV-2 Ag Rapid Test (FIA),N
AT023/20 (AT004/20),AT1154/21,"30,4%","88,9%","0,0%","46,0%","SD Biosensor, Inc. (Roche Diagnostics GmbH)",Q-NCOV-01G (9901-NCOV-01G),STANDARD Q COVID-19 Ag Test (SARS-CoV-2 Rapid Antigen Test),N
AT025/20,,"78,3%","100,0%","11,1%","74,0%",BIOSYNEX SWISS SA,SW4000605,BIOSYNEX COVID-19 Ag BSS,N
AT029/20,,"21,7%","100,0%","0,0%","46,0%",Fujirebio Inc. (Mast Diagnostica GmbH),231906,ESPLINE® SARS-CoV-2,N
AT031/20,AT1190/21 AT1288/21,"39,1%","100,0%","0,0%","52,0%","Anhui Deepblue Medical Technology Co., Ltd.",n.a.,COVID-19 (SARS CoV-2) Antigen Test Kit (Colloidal Gold),N
AT032/20,,"34,8%","100,0%","0,0%","50,0%",Edinburgh Genetics Limited,EGCV0101B,Edinburgh Genetics ActivXpress+ COVID-19 Antigen Complete Testing Kit,N
AT033/20,,"78,3%","100,0%","0,0%","70,0%",Ameda Labordiagnostik GmbH,RT2952,AMP Rapid Test SARS-CoV-2 Ag,N
AT036/20,,"0,0%","66,7%","0,0%","24,0%",Servoprax GmbH,C34800-100,Cleartest Corona-Antigen,n.a.
AT036/21,,"21,7%","94,1%","0,0%","42,0%",Novatech Tibbi Cihaz Ürünleri San. Ve Tic C.A.S.,MY28,novacheck®-Ag SARS-CoV-2 Covid-19 Antigen Rapid Test,N
AT039/20,,"87,0%","100,0%","0,0%","76,0%","Zhejiang Orient Gene Biotech Co.,Ltd",GCCOV-502a,Coronavirus Ag Rapid Test Cassette (Swab),N
AT041/20,,"0,0%","29,4%","0,0%","10,0%","Hangzhou Biotest Biotech Co., Ltd.",INCP-C81-20,Lumiratek SARS-CoV-2 Antigen Rapid Test Cassette,N
AT044/21,,"87,0%","100,0%","20,0%","78,0%","Triplex International Biosciences (China) Co., Ltd.",C011906,SARS-CoV-2 Antigen Rapid Test Kit,N
AT046/20,,"4,3%","47,1%","0,0%","18,0%","Joysbio (Tianjin) Biotechnology Co., Ltd.",G10313,Joysbio SARS-CoV-2 Antigen Rapid Test Kit (Colloidal Gold),N
AT047/20,,"47,8%","100,0%","0,0%","58,0%",Mölab GmbH,0230005SP,mö-screen Corona Antigen Test,N
AT048/20,,"0,0%","33,3%","0,0%","12,0%",Coris BioConcept,C-1023,COVID-19 Ag Respi-Strip,N
AT051/20,,"0,0%","29,4%","0,0%","10,0%",CertestT Biotec S. L.,SC820001PC,CerTest Biotec SARS-CoV-2 Ag Test,N
AT054/20,,"0,0%","16,7%","0,0%","6,0%","Acro Biotech, Inc.",INCP-ACO502,Acro COVID-19 Antigen Rapid Test,n.a.
AT060/20,,"78,3%","100,0%","0,0%","70,0%","Hangzhou Lysun Biotechnology Co., Ltd.",COV-201,Lysun COVID-19 Antigen Rapid Test Device (Colloidal Gold),N
AT061/20,,"13,0%","76,5%","20,0%","36,0%",Azure Biotech Inc.,B62000,Dia Sure Covid-19 Antigen Rapid Test Device (Nasopharyngeal/Oropharyngeal Swab),N
AT062/20,,"0,0%","50,0%","0,0%","18,0%","VivaChek Biotech (Hangzhou) Co., Ltd.",VCD05-01-011,VivaDiag SARS-CoV-2 Ag Rapid Test,N
AT069/20,,"91,3%","100,0%","10,0%","78,0%",ScheBo Biotech AG,34,ScheBo SARS-CoV-2 Quick Antigen,N
AT070/20,,"47,8%","100,0%","10,0%","58,0%","Shenzhen Microprofit Biotech Co., Ltd.",MF-60,fluorecare COVID-19 SARS-CoV-2 Spike Protein Test Kit (Colloidal Gold Chromatographic Immunoassay),S
AT071/20,,"85,0%","100,0%","10,0%","76,0%","Shenzhen Microprofit Biotech Co., Ltd.",MF-63,SARS-CoV-2 Spike Protein Test Kit (Fluorescence Immunoassay),S
AT074/20,,"0,0%","77,8%","0,0%","28,0%","Beijing Beier Bioengineering Co., Ltd.",n.a.,Covid-19 Antigen Schnelltest,N
AT075/20,,"52,2%","100,0%","0,0%","60,0%",LumiraDX,SPEC-32312 R2 ART-00571 R4,LumiraDx SARS-CoV-2 Ag Test,N
AT075/21,,"95,7%","100,0%","20,0%","82,0%",ulti med Products (Deutschland) GmbH,012G521,COVID-19 Antigen Speicheltest (Immunochromatographie),N
AT078/20,,"60,9%","100,0%","0,0%","64,0%",Precision Biosensor Inc. (Axon Lab AG),PR-FC13,Exdia COVID-19-Ag-Test,N
AT079/20,,"34,8%","94,4%","0,0%","50,0%","Hangzhou Clongene Biotech Co., Ltd.",2020110090,Clungene COVID-19 Antigen Rapid Test,N
AT082/20,,"47,8%","100,0%","0,0%","56,0%","Hangzhou Testsea Biotechnology Co., Ltd",n.a.,Testsealabs Rapid Test Kit COVID-19 Antigen Test Cassette,N
AT083/20,,"21,7%","88,2%","0,0%","40,0%","Humasis Co., Ltd.",ACOVA-7025,Humasis COVID-19 Ag Test,N+S
AT084/21,,"75,0%","100,0%","0,0%","70,0%",AccuBioTech Co. Ltd.,ABT-IDTB367,Accu-Tell Rapid In-vitro Diagnostiktest,N
AT085/21,,"39,1%","100,0%","10,0%","54,0%",DNA Diagnostic A/S.,CV19IC,Covid-19 Antigen Detection Kit,N
AT086/20,AT1158/21,"52,2%","100,0%","11,1%","62,0%","Guangdong Wesail Biotech Co., Ltd.",BE0040,COVID-19 Ag Test Kit,N
AT088/21,,"5,0%","65,0%","0,0%","28,0%","Hangzhou Realy Tech Co., Ltd.",K590516D,Heinzer Antigen Covid19 Spucktest Schnelltest [Original Name: Novel Coronavirus (SARS-CoV-2) Antigen Rapid Test Device (saliva)],N+S
AT090/20,,"8,7%","88,2%","0,0%","34,0%",NanoEntek Inc,FRCOG 020P,FREND TM COVID-19 Ag,N
AT1010/21,,"35,0%","100,0%","0,0%","54,0%","Changzhou Biowin Pharmaceutical Co.,Ltd.",n.a.,Novel Coronavirus(COVID-19) Antigen Test Kit (Colloidal Gold),N
AT1019/21,,"95,0%","100,0%","60,0%","90,0%","Shenzhen Kingfocus Biomedical Engineering Co., Ltd.",150129,COVID-19 Antigen Detection Kit (Quantum Dots-Based Immunofluorescence Chromatography),N
AT102/20,,"30,4%","94,1%","0,0%","46,0%","Zhejiang Anji Saianfu Biotech Co.,Ltd.",COVG10S,reOpenTest COVID-19 Antigen Rapid Test (Colloidal Gold),N
AT1024/21,,"100,0%","100,0%","80,0%","96,0%","Acro Diagnostics Co., Ltd",n.a.,SARS-CoV-2 Antigen Rapid Detection Kit (LFA),N
AT1054/21,,"100,0%","100,0%","100,0%","100,0%",Lifecosm Biotech Limited,n.a.,COVID-19 Rapid Test Cassette Antigen Test Kit,N
AT106/20,,"13,0%","82,4%","0,0%","34,0%",Salofa OY,COV-06-S,salocor SARS-CoV-2 Antigen Rapid Test Cassette (Nasopharyngeal swab),N
AT1064/21,,"10,0%","95,0%","0,0%","42,0%",Senova Gesellschaft für Biowissenschaft und Technik mbH,2.13.1.587,GreenLight SARS-CoV-2 Antigen-Test,N
AT1065/21,,"10,0%","95,0%","0,0%","42,0%","Shenzhen Kang Sheng Bao Bio- -Technology Co., Ltd.",808151-1,SARS-CoV-2 Antigen Rapid Test (Lateral Flow Assay),N
AT1073/21,,"100,0%","100,0%","70,0%","94,0%",Innovation Biotech (Beijing) Co. LTD,n.a.,INVBIO One Step Diagnostic Rapid Test Cassette,N
AT1076/21,,"65,0%","100,0%","0,0%","66,0%",Hubei Jinjian Biology Co. Ltd.,n.a.,SARS-CoV-2 Antigen Test Kit (Colloidal Gold Method),N
AT108/20,,"95,7%","100,0%","20,0%","82,0%","Shenzhen Watmind Medical Co., Ltd.",LFA0401-25N,SARS-CoV-2 Ag Diagnostic Test Kit (Colloidal Gold),N
AT1082/21,,"65,0%","100,0%","0,0%","66,0%","Jiangsu Mole Bioscience Co., Ltd",R220T001B0C0,SARS-CoV-2 Antigen Test Cassette,N
AT109/20,AT1297/21,"13,0%","88,2%","0,0%","36,0%","Xiamen WIZ Biotech Co., Ltd.",51232012,Wizbiotech SARS-CoV-2 Antigen Rapid Test,N
AT1100/21,,"95,0%","100,0%","40,0%","86,0%","Genobio Pharmaceutical Co., Ltd.",CoVSLFA-20,Virusee® SARS-CoV-2 Antigen Rapid Test (Colloidal Gold) (Saliva/Swab),N
AT111/20,AT1200/21,"56,5%","94,1%","0,0%","58,0%",Genrui Biotech Inc.,52026075,Genrui SARS-CoV-2 Antigen Test Kit (Colloidal Gold),N
AT116/20,AT1165/21,"43,5%","100,0%","0,0%","54,0%","Xiamen Boson Biotech Co., Ltd.",07AG6020B,SARS-CoV-2 Antigen Schnelltest,N
AT117/20,,"30,4%","94,1%","0,0%","46,0%",Oncosem Onkolojik Sistemler San. Ve Tic.A.S.,CAT-01,CAT Antigen Covid Rapid Test,N
AT1173/21,AT1189/21,"10,0%","95,0%","0,0%","42,0%",Dräger Safety AG & Co. KGaA,3715270,Dräger Antigen Test SARS-CoV-2,N
AT120/20,AT1236/21,"47,8%","100,0%","0,0%","56,0%","Beijing Hotgen Biotech Co., Ltd.",n.a.,Novel Coronavirus 2019-nCoV Antigen Test (Colloidal gold),N
AT122/21,,"87,0%","100,0%","30,0%","80,0%",Beijing Tigsun Diagnostics Co.;Ltd.,TG1417,Tigsun COVID-19 Saliva Antigen Rapid Test,N
AT125/20,,"0,0%","88,2%","0,0%","30,0%",Guangzhou Wondfo Biotech Co. Ltd,W196,Wondfo SARS-CoV-2 Antigen Test (Lateral Flow Method),N
AT127/20,AT1284/21/ AT1155/21,"17,4%","94,1%","0,0%","40,0%","Labnovation Technologies, Inc.",B63000,Labnovation SARS-CoV-2 Antigen Rapid Test Kit (Immunochromatography),N
AT128/20,,"0,0%","27,8%","0,0%","10,0%",TaiDoc Technology Corporation,n.a.,FORA COVID-19 ANTIGEN RAPID TEST,N
AT132/20,,"60,9%","100,0%","0,0%","62,0%","Atlas Link Technology Co.,Ltd.",nCOV-500,Nova Test SARS-CoV-2 Antigen Rapid Test Kit,N
AT139/20,,"0,0%","52,9%","0,0%","18,0%",Inzek International Trading B.V,BCOV-502,BIOZEK COVID-19-Antigen-Schnelltestkassette,n.a.
AT147/20,AT1332/21 / AT1333/21,"52,2%","100,0%","0,0%","58,0%","Anbio (Xiamen) Biotechnology Co., Ltd",A6061202,Rapid Covid-19 Antigen Test (Colloidal Gold),N
AT151/20,,"91,3%","100,0%","20,0%","80,0%","LumiQuick Diagnostics, Inc.",71110,Quick Profile Covid-19 Antigen Test Card,N
AT155/20,AT1217/21,"4,3%","94,1%","0,0%","34,0%","ACON Biotech (Hangzhou) Co., Ltd",L031-11815,Flowflex SARS-CoV-2-Antigenschnelltest,N
AT160/20,,"0,0%","52,9%","0,0%","18,0%","Hangzhou Genesis Biocontrol Co., Ltd",P211134,KaiBiLi COVID-19 Antigen Rapid Test Device,N
AT161/20,,"13,0%","94,1%","0,0%","38,0%",GenSure Biotech Inc.,P2004,DIA-COVID® COVID-19 Ag Rapid Test Kit,N
AT163/20,,"0,0%","0,0%","0,0%","0,0%","Beijing Savant Biotechnology Co., Ltd.",MPV: M30020-01 02,New Coronavirus (SARS-CoV-2) N Protein Detection Kit (Fluorescence Immunchromatography),N
AT166/20,AT1257/21,"82,6%","100,0%","0,0%","72,0%","Getein Biotech, Inc.",CG2061,One Step Test for SARS-CoV-2 Antigen (Colloidal Gold),N
AT167/20,,"21,7%","82,4%","10,0%","40,0%",Zet Medikal Tekstil Dis Ticaret Ltd. STI.,n.a.,softec SARS COV-2 (Covid-19) Antigen Test Kit,N
AT171/20,,"4,3%","58,8%","0,0%","22,0%","Medicon Co., Ltd.",MICOG-502 (B2503),Trueline COVID-19 Ag Rapid Test,N+S
AT172/20,,"56,5%","100,0%","0,0%","60,0%","Wuhan Life Origin Biotech Joint Stock Co., Ltd.",SF24025,SARS-CoV-2 Antigen Assay Kit (Immunochromatography),n.a.
AT172/21,,"60,0%","100,0%","0,0%","64,0%",BioMaxima S.A.,1-367-K020,SARS-CoV-2 Ag Rapid Test,N
AT178/20,,"0,0%","0,0%","0,0%","0,0%","Joinstar Biomedical Technology Co., Ltd",n.a.,COVID-19 Antigen Rapid Test (Latex),S
AT181/21,,"47,8%","100,0%","0,0%","58,0%",Affimedix,1166-25,TestNOW® COVID-19-Antigen-Test,N
AT186/20,,"0,0%","52,9%","0,0%","18,0%",SureScreen Diagnostics Ltd.,COVID19AGVC,COVID-19 Antigen Rapid Test Cassette,N
AT198/20,,"43,5%","100,0%","0,0%","54,0%",MP Biomedicals Germany GmbH,07AG6020B,Rapid SARS-CoV-2 Antigen Test Card,N
AT199/20,,"60,9%","100,0%","0,0%","62,0%","Safecare Biotech Hangzhou Co., Ltd.",COV Ag-6012,Safecare COVID-19 Ag Rapid Test Kit (Swab),N
AT199/21,,"5,0%","85,0%","0,0%","36,0%",Innovita (Tangshan) Biological Technology Co.; LTD.,n.a.,2019-nCoV Ag Test (Latex Chromatography Assay),N
AT200/20,,"8,7%","83,3%","0,0%","34,0%",Becton Dickinson,256082,BD VeritorTM System for Rapid Detection of SARS-CoV-2,N
AT201/20,,"0,0%","16,7%","0,0%","6,0%",Hangzhou AllTest Biotech Co. Ltd.,ICOV-502,COVID-19 Antigen Rapid Test (Nasopharyngeal swab),n.a.
AT205/20,,"50,0%","100,0%","0,0%","60,0%","Beijing Jinwofu Bioengineering Technology Co., Ltd.",C3042,Jinwofu Novel Coronavirus (SARS-COV-2) Antigen Rapid Test Kit,N
AT209/20,,"17,4%","100,0%","0,0%","42,0%","PerGrande BioTech Development Co., Ltd.",n.a.,SARS-CoV-2 Antigen Detection Kit (Colloidal Gold Immunochromatographic Assay),N+S
AT211/20,,"13,0%","82,4%","0,0%","34,0%","Shenzhen Zhenrui Biotech Co., Ltd.",n.a.,Zhenrui COVID-19 (SARS-COV-2) Antigen Test Kits,N
AT214/20,,"82,6%","100,0%","0,0%","72,0%","Merlin Biomedical (Xiamen) Co., Ltd.",CP01810011,SARS-CoV-2 Antigen Rapid Test Cassette,N
AT216/20 (AT052/20),,"26,1%","100,0%","0,0%","46,0%","Beijing Lepu Medical Technology Co., Ltd",n.a.,SARS-CoV-2 Antigen Rapid Test Kit,N
AT218/20,,"0,0%","47,1%","0,0%","16,0%","W.H.P.M, Inc.",FSSA-CK20,First Sign SARS-CoV-2 Antigen Test,N
AT219/20,,"78,3%","100,0%","0,0%","70,0%",BioRepair GmbH,COV-201,Covid 19 Antigen Schnelltest,N
AT225/20,,"0,0%","29,4%","0,0%","10,0%",Spring Healthcare Services Sp zoo,SP-SW 106,SARS-Cov-2 Antigen Rapid Test Cassette (swab),N+S
AT228/20,,"13,0%","88,2%","0,0%","36,0%","Hangzhou Immuno Biotech Co.,Ltd.",YMC050G,IMMUNOBIO SARS-CoV-2 Antigen-Schnelltest (COVID-19 Ag),N
AT231/20,,"70,0%","100,0%","30,0%","74,0%","Jiangsu Konsung Bio-Medical Science And Technology Co., Ltd",n.a.,Konsung COVID-19 Antigen Rapid Test Kit,N
AT236/20,AT1276/21,"60,9%","100,0%","0,0%","64,0%","Joinstar Biomedical Technology Co., Ltd (CIV care impuls Vertrieb)",n.a.,COVID-19 Antigen Schnelltest (Colloidal Gold),N
AT242/21,,"0,0%","50,0%","0,0%","20,0%",SG Diagnostics Pte Ltd,SG0010A,SG Diagnostics COVID-19 Antigen Rapid Test Kit (Colloidal Gold-Based),N
AT244/20,AT1298/21,"21,7%","94,1%","0,0%","42,0%","Jiangsu Medomics Medical Technology Co., Ltd",1031-02,SARS-CoV-2-Antigen-Testkit (LFIA),N
AT246/21,AT1279/21,"87,0%","100,0%","30,0%","80,0%","Xiamen AmonMed Biotechnology Co., Ltd.",CG01Ag-25,COVID-19 Antigen Rapid Test Kit (Colloidal Gold),N
AT247/21,,"25,0%","95,0%","0,0%","48,0%","Innovation Biotech (Beijing) Co.,Ltd",n.a.,INVBIO Antigen Rapid Test Device (Saliva),N
AT255/20,,"5,0%","85,0%","0,0%","36,0%","Nanjing Vazyme Medical Technology Co., Ltd.",C8602C,Vazyme SARS-CoV-2 Antigen Detection Kit (Colloidal Gold- Based),N+S
AT260/21,,"30,0%","100,0%","0,0%","52,0%","Shenzhen Dymind Biotechnology Co., Ltd.",n.a.,SARS-CoV-2 Antigen Test Kit (Colloidal Gold),N
AT267/20,,"26,1%","88,2%","0,0%","42,0%","Core Technology Co., Ltd.",n.a.,Canea COVID-19 Antigen Schnelltest,N
AT276/21,AT1117/21,"55,0%","100,0%","0,0%","62,0%","Hangzhou AllTest Biotech Co., Ltd.",ICOV-802,Covid-19 Antigen Rapid Test (Oral fluid),N
AT284/21,,"10,0%","95,0%","0,0%","42,0%",Biocan Diagnostics Inc.,B255C,Tell Me Fast Rapid Diagnostic Test,N
AT286/20,,"50,0%","95,0%","0,0%","58,0%","Assure Tech (Hangzhou) Co., Ltd",NL-CA002-2020- 52777,ECOTEST COVID-19 Antigen Rapid Test Device,N
AT294/20,,"0,0%","64,7%","0,0%","22,0%","VivaChek Biotech (Hangzhou) Co., Ltd.",VCD16-01-011,VivaDiag Pro SARS-CoV-2 Ag Rapid Test,N
AT302/21,,"0,0%","0,0%","0,0%","0,0%",Redcell Bioteknoloji Anim Sirketi,RCCOVAG,COVID-19 Antigen Test,N
AT303/20,,"8,7%","76,5%","0,0%","30,0%","Amazing Biotech (Shanghai) Co., Ltd",RICOV2,CoroVisio Covid-19 Ag Versieglungsröhrchen Teststreifen (Kolloidales Gold),N
AT311/21,,"5,0%","90,0%","0,0%","38,0%",ZandCell AB,n.a.,ZandCell COVID-19 Saliva Antigen-Test,N
AT313/20,,"0,0%","95,0%","0,0%","38,0%",Beijing Kewei Clinical Diagnostic Reagent Inc.,601460,COVID-19 Antigen Rapid Test Kit,N
